date,description,amount
2023-01-01,Salary Payment,5000.00
2023-01-02,Groceries Store,-150.75
2023-01-03,Electricity Bill,-120.40
2023-01-04,Dining Out,-60.20
2023-01-05,Ride Sharing,-18.50
2023-01-06,Salary Payment,5000.00
2023-01-07,Groceries Store,-150.75
2023-01-08,Electricity Bill,-120.40
2023-01-09,Dining Out,-60.20
2023-01-10,Ride Sharing,-18.50
2023-01-11,Salary Payment,5000.00
2023-01-12,Groceries Store,-150.75
2023-01-13,Electricity Bill,-120.40
2023-01-14,Dining Out,-60.20
2023-01-15,Ride Sharing,-18.50
2023-01-16,Salary Payment,5000.00
2023-01-17,Groceries Store,-150.75
2023-01-18,Electricity Bill,-120.40
2023-01-19,Dining Out,-60.20
2023-01-20,Ride Sharing,-18.50
2023-01-21,Salary Payment,5000.00
2023-01-22,Groceries Store,-150.75
2023-01-23,Electricity Bill,-120.40
2023-01-24,Dining Out,-60.20
2023-01-25,Ride Sharing,-18.50
2023-01-26,Salary Payment,5000.00
2023-01-27,Groceries Store,-150.75
2023-01-28,Electricity Bill,-120.40
2023-01-29,Dining Out,-60.20
2023-01-30,Ride Sharing,-18.50
2023-01-31,Salary Payment,5000.00
2023-02-01,Groceries Store,-150.75
2023-02-02,Electricity Bill,-120.40
2023-02-03,Dining Out,-60.20
2023-02-04,Ride Sharing,-18.50
2023-02-05,Salary Payment,5000.00
2023-02-06,Groceries Store,-150.75
2023-02-07,Electricity Bill,-120.40
2023-02-08,Dining Out,-60.20
2023-02-09,Ride Sharing,-18.50
2023-02-10,Salary Payment,5000.00
2023-02-11,Groceries Store,-150.75
2023-02-12,Electricity Bill,-120.40
2023-02-13,Dining Out,-60.20
2023-02-14,Ride Sharing,-18.50
2023-02-15,Salary Payment,5000.00
2023-02-16,Groceries Store,-150.75
2023-02-17,Electricity Bill,-120.40
2023-02-18,Dining Out,-60.20
2023-02-19,Ride Sharing,-18.50
2023-02-20,Salary Payment,5000.00
2023-02-21,Groceries Store,-150.75
2023-02-22,Electricity Bill,-120.40
2023-02-23,Dining Out,-60.20
2023-02-24,Ride Sharing,-18.50
2023-02-25,Salary Payment,5000.00
2023-02-26,Groceries Store,-150.75
2023-02-27,Electricity Bill,-120.40
2023-02-28,Dining Out,-60.20
2023-03-01,Ride Sharing,-18.50
2023-03-02,Salary Payment,5000.00
2023-03-03,Groceries Store,-150.75
2023-03-04,Electricity Bill,-120.40
2023-03-05,Dining Out,-60.20
2023-03-06,Ride Sharing,-18.50
2023-03-07,Salary Payment,5000.00
2023-03-08,Groceries Store,-150.75
2023-03-09,Electricity Bill,-120.40
2023-03-10,Dining Out,-60.20
2023-03-11,Ride Sharing,-18.50
2023-03-12,Salary Payment,5000.00
2023-03-13,Groceries Store,-150.75
2023-03-14,Electricity Bill,-120.40
2023-03-15,Dining Out,-60.20
2023-03-16,Ride Sharing,-18.50
2023-03-17,Salary Payment,5000.00
2023-03-18,Groceries Store,-150.75
2023-03-19,Electricity Bill,-120.40
2023-03-20,Dining Out,-60.20
2023-03-21,Ride Sharing,-18.50
2023-03-22,Salary Payment,5000.00
2023-03-23,Groceries Store,-150.75
2023-03-24,Electricity Bill,-120.40
2023-03-25,Dining Out,-60.20
2023-03-26,Ride Sharing,-18.50
2023-03-27,Salary Payment,5000.00
2023-03-28,Groceries Store,-150.75
2023-03-29,Electricity Bill,-120.40
2023-03-30,Dining Out,-60.20
2023-03-31,Ride Sharing,-18.50
2023-04-01,Salary Payment,5000.00
2023-04-02,Groceries Store,-150.75
2023-04-03,Electricity Bill,-120.40
2023-04-04,Dining Out,-60.20
2023-04-05,Ride Sharing,-18.50
2023-04-06,Salary Payment,5000.00
